118.1342511,0.001998187
123.054357,0.002667341
128.1915497,0.003884152
133.5510569,0.00596896
139.1396707,0.00948182
144.9673911,0.015569523
151.0412484,0.025885431
157.3752816,0.044486278
163.9771618,0.077409314
170.8536727,0.13303438
178.0185554,0.228630709
185.4822257,0.389679526
193.2579466,0.661426802
201.3532652,1.090596814
209.7857887,1.783401029
218.5625652,2.809599309
227.7034454,4.371628924
237.2223314,6.69032013
247.1384732,10.21342051
255.3551936,14.69496042
264.704283,17.20138398
276.3455247,32.93531041
288.6270448,37.14597456
299.2188711,39.60767091
312.2354972,59.09710881
372.9507909,148.8989209
388.4256406,173.3695384
404.5499054,205.2340099
421.3301819,236.0120091
438.8064854,271.4056432
457.001487,308.252902
475.9444834,345.7793098
495.6659548,383.0843066
516.2092833,427.9444186
537.5918944,468.2591294
559.8576922,510.2538808
583.0456873,556.0148356
607.1858382,598.397777
632.3226173,641.3494693
658.5030071,690.2371523
685.758055,733.6779254
714.1314855,770.222324
743.6956886,825.507209
774.4663049,866.6256118
806.5173578,917.3600367
839.8834403,959.0729512
874.6378066,1011.023187
910.8179524,1052.626061
948.5032989,1105.057223
987.7478871,1160.099975
1028.606929,1207.837251
1071.170671,1273.262337
1115.475524,1320.176724
1161.628634,1385.934548
1209.685873,1448.953829
1259.731266,1514.838634
1311.852998,1590.292542
1366.11275,1648.888164
1422.642478,1738.203716
1481.498008,1817.240888
1542.788425,1899.871928
1606.614461,1986.260251
1673.081016,2076.576703
1742.320966,2198.144683
1814.393573,2288.596749
1879.047654,2386.83085
320.9351271,73.23544569
329.9777393,82.87990361
342.726921,99.78961725
355.9445038,112.9003392
112.0141045,0.001319228
115.4757469,0.001690716
